6;1;-5.0;156.5
7;1;-2.9;160.25
1;1;-6.2;172.75
2;1;-3.8;183.5
3;1;-3.3;182.0
4;1;-3.6;169.0
5;1;7.6;173.5
6;1;11.6;168.0
7;1;8.1;166.0
1;1;5.0;171.5
2;1;3.7;184.5
3;1;4.1;NaN
4;1;3.3;192.5
5;1;3.6;180.75
6;1;1.0;176.5
7;1;1.9;157.0
1;1;-1.3;157.75
2;1;-0.3;178.75
3;1;-1.4;171.5
4;1;3.1;179.5
5;1;1.3;179.75
6;1;-0.3;166.0
7;1;-2.7;168.0
1;1;-3.9;176.25
2;1;-5.1;172.0
3;1;-1.1;185.25
4;1;1.0;180.5
5;1;-0.9;186.5
6;1;-2.5;171.25
7;1;-1.8;167.75
1;1;-1.4;171.5
2;2;-2.3;190.0
3;2;-3.3;184.0
4;2;-2.3;191.0
5;2;-3.4;187.5
6;2;-3.0;168.25
7;2;-2.9;170.25
1;2;-2.4;177.0
2;2;-2.7;186.5
3;2;1.6;182.5
4;2;-1.3;186.75
5;2;-2.5;182.75
6;2;8.9;174.75
7;2;1.9;185.75
1;2;1.2;188.0
2;2;0.1;189.0
3;2;0.2;197.0
4;2;2.9;191.75
5;2;3.0;186.25
6;2;0.9;176.0
7;2;-0.6;146.25
1;2;-1.1;188.25
2;2;-2.6;190.5
3;2;-3.9;187.75
4;2;-6.9;183.25
5;2;-7.9;186.0
6;2;-1.4;177.0
7;2;-2.1;175.25
1;2;-1.5;183.75
2;3;-0.2;195.0
3;3;0.2;188.5
4;3;-1.8;185.0
5;3;0.0;178.5
6;3;0.0;178.2
7;3;-3.5;175.287313433
1;3;0.2;195.084249084
2;3;-5.4;195.707581227
3;3;-5.8;205.49609375
4;3;-3.3;200.98046875
5;3;-0.2;201.3125
6;3;3.6;184.019685039
7;3;5.0;184.0078125
1;3;11.2;191.399209486
2;3;7.8;186.5
3;3;8.8;186.75
4;3;10.5;188.75
5;3;6.0;189.75
6;3;5.8;183.75
7;3;4.3;182.25
1;3;4.0;190.0
2;3;-0.6;197.75
3;3;0.8;198.25
4;3;2.8;200.0
5;3;2.4;192.5
6;3;10.4;182.5
7;3;10.4;184.25
1;3;9.7;NaN
2;3;6.1;NaN
3;3;2.8;192.0
4;3;3.7;201.5
5;4;6.8;NaN
6;4;7.3;NaN
7;4;8.1;NaN
1;4;10.0;NaN
2;4;9.0;NaN
3;4;5.3;NaN
4;4;8.2;NaN
5;4;15.3;NaN
6;4;11.5;NaN
7;4;5.4;NaN
1;4;6.7;0.0
2;4;7.0;0.0
3;4;6.2;0.0
4;4;3.2;0.0
5;4;5.8;0.0
6;4;9.0;0.0
7;4;5.7;147.0
1;4;4.1;146.25
2;4;5.4;160.5
3;4;5.4;165.0
4;4;6.7;157.0
5;4;7.5;153.5
6;4;8.5;144.75
7;4;12.4;139.75
1;4;11.8;136.0
2;4;12.9;143.5
3;4;12.6;150.0
4;4;11.6;152.25
5;4;11.4;164.5
6;4;11.8;163.0
7;5;11.8;154.25
1;5;8.4;157.25
2;5;12.0;158.75
3;5;5.2;NaN
4;5;5.0;158.0
5;5;5.8;158.065693431
6;5;6.8;149.567901235
7;5;9.0;145.228215768
1;5;10.0;150.0
2;5;10.7;153.5
3;5;11.8;159.75
4;5;11.5;164.25
5;5;16.8;NaN
6;5;14.1;NaN
7;5;14.4;173.0
1;5;10.2;187.472
2;5;13.7;150.926829268
3;5;13.7;150.533632287
4;5;13.6;150.024390244
5;5;14.9;155.410714286
6;5;16.1;142.610091743
7;5;13.1;143.703539823
1;5;15.8;154.219827586
2;5;16.1;159.46460177
3;5;17.3;163.054545455
4;5;15.2;156.403669725
5;5;16.6;163.587234043
6;5;13.4;155.360515021
7;5;11.9;145.411016949
1;5;13.6;164.17721519
2;5;16.4;167.877637131
