Praznik;Mjesec;PrijasnjaPotrosnja;Potrosnja
1;12;149.0;146.5
0;12;156.75;159.5
0;12;159.75;177.75
1;12;171.0;171.75
1;12;167.5;177.75
0;12;156.25;154.0
1;1;157.25;153.0
0;1;163.0;161.25
0;1;224.5;284.0
0;1;228.25;276.5
0;1;222.5;273.25
1;1;167.0;165.75
1;1;192.25;195.75
1;1;171.75;170.75
0;1;166.75;164.25
0;1;214.75;266.5
0;1;229.0;278.5
0;1;NaN;NaN
0;1;241.0;312.5
1;1;218.0;254.5
1;1;179.5;178.0
0;1;158.25;154.5
0;1;228.25;291.5
0;1;244.5;286.5
0;1;237.0;275.0
0;1;249.5;280.0
1;1;243.0;285.5
1;1;181.25;178.25
0;1;177.0;171.25
0;1;238.25;290.25
0;1;228.0;275.75
0;1;227.0;265.25
0;1;234.0;278.75
1;1;236.75;283.5
1;1;185.25;188.75
0;1;172.5;171.0
0;1;230.75;277.5
0;2;259.75;289.5
0;2;243.25;286.25
0;2;250.25;281.5
1;2;237.75;270.75
1;2;178.0;189.75
0;2;177.5;170.75
0;2;215.25;268.25
0;2;234.0;292.25
0;2;230.75;274.5
0;2;228.5;273.0
1;2;223.0;261.25
1;2;179.25;170.75
0;2;185.0;176.25
0;2;247.25;286.5
0;2;260.5;285.25
0;2;254.5;303.0
0;2;255.0;306.5
1;2;247.25;293.0
1;2;184.5;164.25
0;2;146.0;142.75
0;2;239.0;280.0
0;2;247.5;286.75
0;2;236.25;278.5
0;2;222.75;268.5
1;2;243.25;264.75
1;2;180.75;173.25
0;2;175.75;170.5
0;2;243.0;282.5
0;3;247.25;298.5
0;3;240.75;307.75
0;3;237.5;281.0
1;3;240.0;266.5
1;3;182.467153285;180.390510949
0;3;171.959854015;170.087912088
0;3;226.282051282;252.45620438
0;3;246.064981949;283.614814815
0;3;243.1875;277.30078125
0;3;241.921875;285.902723735
1;3;234.234375;275.3125
1;3;189.330708661;183.99609375
0;3;181.723735409;180.7421875
0;3;248.57480315;294.76953125
0;3;237.25;284.0
0;3;242.0;283.75
0;3;241.0;295.25
1;3;245.25;292.75
1;3;194.25;187.75
0;3;180.5;177.5
0;3;231.25;282.75
0;3;236.0;265.0
0;3;233.25;261.0
0;3;227.5;261.75
1;3;224.75;257.75
1;3;189.0;194.25
0;3;185.5;179.0
0;3;NaN;NaN
0;3;NaN;NaN
0;3;245.75;273.0
0;3;253.5;281.75
1;4;NaN;NaN
1;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
1;4;NaN;NaN
1;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
1;4;NaN;NaN
1;4;NaN;NaN
0;4;158.25;154.25
0;4;203.25;239.5
0;4;204.75;254.5
0;4;208.0;243.75
0;4;211.0;244.5
1;4;187.25;241.0
1;4;149.0;151.0
1;4;136.5;136.25
1;4;141.25;143.5
0;4;196.75;238.25
0;4;209.75;235.5
0;4;208.5;236.5
1;4;219.75;259.75
1;4;156.0;158.0
1;5;145.5;145.0
0;5;189.5;214.0
0;5;186.5;231.0
0;5;NaN;NaN
0;5;191.5;220.25
1;5;198.981684982;236.149635036
1;5;159.253061224;159.404958678
0;5;142.547325103;144.545081967
0;5;205.25;225.5
0;5;206.0;227.5
0;5;222.5;244.0
0;5;219.0;229.25
1;5;NaN;NaN
1;5;NaN;NaN
0;5;171.5;178.650684932
0;5;240.599190283;293.518218623
0;5;207.514423077;244.62
0;5;203.697777778;247.273542601
0;5;215.123505976;251.067460317
1;5;204.115555556;221.004385965
1;5;164.78440367;166.056074766
0;5;143.286956522;143.81938326
0;5;195.561085973;246.187793427
0;5;198.013043478;263.487068966
0;5;204.401785714;256.947136564
0;5;204.205240175;251.907079646
1;5;205.259574468;257.086956522
1;5;163.329113924;161.088495575
0;5;144.406779661;145.35021097
0;5;199.940425532;262.611814346
0;5;208.829787234;250.122881356
0;6;208.995744681;298.120689655
0;6;210.061674009;302.850678733
1;6;218.185022026;289.906666667
1;6;158.415929204;166.572687225
0;6;151.843049327;151.709090909
0;6;207.898148148;288.848888889
0;6;227.25203252;307.815315315
0;6;243.730088496;325.189189189
0;6;225.956521739;311.185022026
1;6;231.484162896;305.297297297
1;6;189.56;210.572052402
0;6;141.521929825;143.763948498
0;6;206.836909871;277.977477477
0;6;203.745689655;303.848484848
0;6;205.247826087;282.890350877
0;6;206.75;266.5
1;6;211.131004367;313.363636364
1;6;148.139737991;150.333333333
0;6;143.077922078;142.210526316
0;6;204.61637931;267.126637555
0;6;202.328888889;247.6069869
1;6;152.25;166.5
1;6;157.642335766;181.27037037
1;6;173.289377289;192.394052045
1;6;148.756457565;150.349264706
0;6;144.070110701;144.443223443
0;6;215.855072464;274.047272727
0;6;224.040723982;272.659192825
0;6;214.427927928;310.874439462
0;6;231.820627803;288.410714286
