6;1;-4.6;158.5
7;1;-0.7;172.25
1;1;-2.5;403.75
2;1;-1.7;423.75
3;1;-1.8;426.25
4;1;2.0;187.25
5;1;12.9;232.75
6;1;13.9;179.75
7;1;15.9;177.75
1;1;11.5;489.5
2;1;4.3;495.0
3;1;6.8;NaN
4;1;10.4;402.25
5;1;12.9;459.25
6;1;11.4;191.5
7;1;9.1;163.0
1;1;9.4;454.75
2;1;4.8;421.0
3;1;2.2;445.25
4;1;4.1;448.25
5;1;2.8;477.25
6;1;0.9;208.0
7;1;1.5;185.75
1;1;2.5;439.25
2;1;0.8;421.75
3;1;7.5;439.5
4;1;2.5;456.75
5;1;-0.4;470.75
6;1;0.1;188.75
7;1;0.0;177.0
1;1;-0.5;457.25
2;2;-1.3;429.75
3;2;-2.1;417.25
4;2;1.5;408.5
5;2;6.9;362.0
6;2;12.8;185.75
7;2;12.4;178.25
1;2;15.6;381.25
2;2;14.6;375.25
3;2;11.4;398.0
4;2;10.2;374.0
5;2;14.9;370.5
6;2;6.2;198.25
7;2;4.0;183.5
1;2;2.1;477.5
2;2;0.7;504.0
3;2;3.0;455.75
4;2;3.5;479.0
5;2;4.6;478.75
6;2;7.3;157.5
7;2;7.0;188.25
1;2;-0.2;475.0
2;2;-0.8;458.0
3;2;-1.3;411.75
4;2;1.2;418.25
5;2;1.8;429.25
6;2;1.6;192.25
7;2;-0.7;193.75
1;2;0.1;493.5
2;3;1.5;493.5
3;3;0.6;471.0
4;3;-0.1;485.0
5;3;3.6;467.5
6;3;2.5;209.335766423
7;3;4.6;183.959854015
1;3;4.4;450.186131387
2;3;5.3;438.233463035
3;3;7.9;461.0703125
4;3;14.4;430.792156863
5;3;16.9;427.774319066
6;3;17.3;198.45703125
7;3;16.1;192.220472441
1;3;18.2;455.521568627
2;3;19.0;422.25
3;3;10.4;464.5
4;3;16.2;457.5
5;3;11.3;466.0
6;3;8.9;198.25
7;3;9.5;187.25
1;3;7.9;424.5
2;3;13.4;398.0
3;3;16.6;408.25
4;3;18.5;426.5
5;3;22.5;419.25
6;3;20.0;202.5
7;3;15.1;194.75
1;3;12.3;NaN
2;3;15.0;391.0
3;3;17.4;383.5
4;3;19.1;497.0
5;4;19.7;NaN
6;4;21.0;NaN
7;4;21.5;NaN
1;4;22.5;NaN
2;4;15.6;NaN
3;4;17.4;NaN
4;4;25.6;NaN
5;4;19.3;NaN
6;4;22.3;NaN
7;4;17.2;NaN
1;4;18.7;0.0
2;4;25.3;0.0
3;4;11.2;0.0
4;4;14.9;0.0
5;4;12.3;0.0
6;4;13.5;NaN
7;4;15.6;157.25
1;4;16.6;411.75
2;4;18.6;428.75
3;4;21.2;388.5
4;4;23.5;413.0
5;4;22.9;322.75
6;4;23.3;163.5
7;4;23.7;145.0
1;4;21.1;162.25
2;4;14.6;428.0
3;4;16.9;418.5
4;4;15.1;454.25
5;4;14.6;440.75
6;4;17.6;167.0
7;5;17.9;160.75
1;5;19.6;396.5
2;5;22.2;363.25
3;5;12.6;383.25
4;5;16.0;401.907063197
5;5;17.3;360.435897436
6;5;22.6;178.391836735
7;5;12.6;177.280487805
1;5;18.1;412.25
2;5;23.4;371.75
3;5;25.1;380.25
4;5;27.1;405.0
5;5;22.4;NaN
6;5;25.1;230.5
7;5;12.0;210.466346154
1;5;16.9;404.049107143
2;5;18.2;403.245614035
3;5;22.3;421.939271255
4;5;24.8;425.78
5;5;26.3;430.9004329
6;5;27.0;193.943925234
7;5;25.6;163.935064935
1;5;26.8;485.692307692
2;5;26.8;471.905063291
3;5;25.0;459.25
4;5;25.4;471.230088496
5;5;29.2;535.563559322
6;5;14.7;208.360515021
7;5;21.7;199.1
1;5;23.8;488.99137931
2;5;27.1;522.43776824
