Praznik;Mjesec;Temperatura;Tlak;PrijasnjaPotrosnja;Potrosnja
0;2;-6.8;1012.6;189.0;184.0
1;2;-1.6;1012.8;192.25;190.25
1;2;-2.2;1003.6;182.25;184.5
0;2;-1.0;1006.0;184.75;182.25
0;3;0.1;1013.0;195.5;188.5
0;3;1.0;1015.2;200.0;193.25
0;3;-1.8;1016.1;188.5;182.25
0;3;0.1;1017.4;187.5;184.0
1;3;-0.2;1012.8;179.0;182.5
1;3;-2.7;1004.1;181.076642336;178.073260073
0;3;1.9;1013.1;172.344322344;172.286764706
0;3;-4.6;1021.7;191.03649635;187.018050542
0;3;-4.4;1012.4;197.019455253;188.80859375
0;3;-2.0;1006.4;197.765625;195.73151751
0;3;2.4;1004.2;195.435797665;188.031128405
1;3;6.1;1005.7;193.276264591;191.984375
1;3;7.0;1002.0;189.84375;189.128404669
0;3;11.0;1001.0;188.32421875;185.7265625
0;3;9.8;1005.2;199.25;190.75
0;3;8.6;1001.8;193.75;190.25
0;3;11.0;988.0;199.0;192.0
0;3;5.0;994.0;197.5;191.5
1;3;6.5;1005.0;190.0;192.25
1;3;6.0;1010.6;188.0;188.5
0;3;5.0;1014.6;181.0;182.0
0;3;0.6;1020.2;190.25;184.0
0;3;1.8;1018.0;194.5;186.5
0;3;4.2;1018.0;201.75;199.25
0;3;4.8;1010.6;199.75;193.5
1;3;12.5;999.0;190.75;193.75
1;3;10.8;1000.8;192.75;195.0
0;3;6.4;997.6;NaN;NaN
0;3;9.0;999.6;NaN;NaN
0;3;4.7;1001.8;191.25;190.75
0;3;5.8;1003.8;206.0;196.75
0;4;7.1;1007.2;NaN;NaN
1;4;8.6;1007.8;NaN;NaN
1;4;9.8;1001.8;NaN;NaN
0;4;10.0;998.7;NaN;NaN
0;4;10.5;1007.1;NaN;NaN
0;4;6.3;1011.3;NaN;NaN
0;4;8.2;1009.6;NaN;NaN
0;4;15.8;998.0;NaN;NaN
1;4;14.2;995.8;NaN;NaN
1;4;8.0;1005.0;NaN;NaN
0;4;7.0;1004.8;NaN;NaN
0;4;9.2;999.9;NaN;NaN
0;4;6.7;1002.2;NaN;NaN
0;4;6.4;999.1;NaN;NaN
0;4;7.0;1000.1;NaN;NaN
1;4;8.4;1003.8;NaN;NaN
1;4;9.1;1006.7;151.0;144.25
0;4;5.8;1007.3;146.25;143.75
0;4;8.6;1003.3;158.75;154.25
0;4;6.6;1002.0;168.0;160.5
0;4;7.8;1003.6;162.75;158.25
0;4;8.6;1000.2;160.25;153.5
1;4;10.0;998.4;151.75;152.5
1;4;14.6;998.6;143.25;142.0
1;4;11.8;1000.8;148.75;148.0
0;4;14.1;999.0;153.0;143.25
0;4;12.5;998.1;158.5;149.5
0;4;11.8;997.1;155.5;153.0
0;4;11.1;995.8;169.25;159.75
1;4;12.0;994.8;161.25;163.0
1;5;11.1;990.2;188.0;183.75
0;5;10.1;993.4;159.75;158.25
0;5;11.2;989.6;153.25;152.0
0;5;7.2;1000.0;174.25;168.75
0;5;4.2;1006.1;165.25;155.75
0;5;4.9;1012.2;161.270072993;157.644688645
1;5;6.9;1009.5;164.452674897;158.765432099
1;5;7.8;1004.9;160.172131148;159.057142857
0;5;6.8;1011.2;160.25;157.0
0;5;11.0;1011.1;154.0;153.25
0;5;10.7;1007.2;166.75;160.5
0;5;11.5;1002.7;174.5;166.75
0;5;19.6;999.6;NaN;NaN
1;5;14.1;1003.6;NaN;NaN
1;5;14.2;996.0;196.8;192.0
0;5;10.0;1003.0;186.187755102;182.482071713
0;5;13.3;1006.9;164.068181818;158.233050847
0;5;14.6;1005.6;157.226086957;151.431718062
0;5;12.4;1004.4;155.0;149.807228916
0;5;14.8;1003.2;164.175438596;156.844262295
1;5;15.6;1003.2;159.963800905;155.493150685
1;5;12.8;1004.0;153.584745763;146.732142857
0;5;15.1;1004.1;154.251184834;148.236363636
0;5;16.9;1006.2;167.793859649;162.236607143
0;5;16.6;1004.8;171.017699115;161.165938865
0;5;15.4;1006.8;166.5;160.5
0;5;15.4;999.4;176.770562771;172.538793103
1;5;14.1;997.4;169.575757576;169.037815126
1;5;10.9;1002.0;155.551724138;155.098712446
0;5;12.0;1005.0;154.628820961;154.68487395
0;5;15.8;1001.4;174.811158798;163.360515021
