Praznik;Mjesec;PrijasnjaPotrosnja;Potrosnja
1;12;146.75;146.75
0;12;216.25;211.25
0;12;209.5;203.5
1;12;217.5;206.5
1;12;202.25;210.25
0;12;168.25;170.25
1;1;158.0;158.25
0;1;170.75;172.25
0;1;405.75;406.5
0;1;408.25;402.0
0;1;422.75;413.25
1;1;186.75;194.75
1;1;233.25;227.5
1;1;185.5;189.0
0;1;178.0;176.5
0;1;466.0;451.75
0;1;491.25;458.25
0;1;NaN;413.0
0;1;409.0;441.5
1;1;427.75;422.25
1;1;173.25;166.0
0;1;161.5;162.5
0;1;450.0;431.25
0;1;399.0;386.75
0;1;450.0;464.25
0;1;450.0;471.25
1;1;461.0;449.5
1;1;203.5;205.5
0;1;184.25;183.0
0;1;418.25;388.75
0;1;429.0;406.5
0;1;446.25;428.25
0;1;433.5;415.0
1;1;457.75;445.25
1;1;185.0;192.75
0;1;182.75;190.75
0;1;437.25;414.5
0;2;421.0;393.25
0;2;413.75;397.25
0;2;376.25;356.75
1;2;350.75;333.5
1;2;187.5;181.0
0;2;179.0;180.25
0;2;372.0;365.0
0;2;353.5;345.75
0;2;403.75;372.0
0;2;338.75;326.75
1;2;364.75;331.0
1;2;199.0;200.0
0;2;184.0;182.25
0;2;481.5;476.0
0;2;503.0;489.75
0;2;477.25;452.75
0;2;479.25;462.75
1;2;468.0;443.75
1;2;160.25;158.5
0;2;185.5;185.75
0;2;477.25;443.0
0;2;458.25;435.75
0;2;395.25;402.75
0;2;415.75;382.0
1;2;392.0;352.0
1;2;190.5;190.25
0;2;192.5;195.75
0;2;488.5;468.75
0;3;482.75;449.5
0;3;448.25;439.5
0;3;465.75;447.25
1;3;440.5;413.5
1;3;207.288321168;199.671532847
0;3;183.248175182;182.151515152
0;3;443.725274725;403.912408759
0;3;429.922178988;390.8
0;3;447.02734375;431.05859375
0;3;408.175097276;391.6015625
1;3;417.098039216;395.326848249
1;3;197.7;197.682352941
0;3;191.498007968;195.19140625
0;3;443.785992218;418.9453125
0;3;424.5;432.25
0;3;474.0;477.75
0;3;458.0;429.5
1;3;459.25;436.25
1;3;212.0;217.25
0;3;186.0;188.5
0;3;412.25;406.25
0;3;390.75;385.75
0;3;417.75;407.25
0;3;426.0;422.5
1;3;397.0;374.5
1;3;209.5;206.75
0;3;204.0;201.25
0;3;NaN;NaN
0;3;401.75;414.5
0;3;376.5;377.0
0;3;436.0;368.25
1;4;NaN;NaN
1;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
1;4;NaN;NaN
1;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
1;4;NaN;NaN
1;4;170.333333333;172.75
0;4;158.25;160.75
0;4;413.0;381.5
0;4;422.75;380.0
0;4;398.0;371.0
0;4;393.75;358.0
1;4;303.5;278.5
1;4;156.5;154.0
1;4;144.75;145.5
1;4;160.75;157.0
0;4;420.75;394.0
0;4;409.5;408.5
0;4;435.0;417.5
1;4;414.0;379.5
1;4;166.25;175.0
1;5;162.25;163.25
0;5;364.5;330.25
0;5;373.5;378.0
0;5;380.25;367.5
0;5;388.558052434;386.911111111
1;5;353.820224719;352.313953488
1;5;169.679012346;170.655737705
0;5;178.18487395;181.518672199
0;5;365.75;324.5
0;5;356.5;377.75
0;5;367.75;347.75
0;5;372.5;359.75
1;5;NaN;NaN
1;5;237.75;237.0
0;5;214.121495327;214.696682464
0;5;410.918918919;384.388127854
0;5;394.703056769;394.145299145
0;5;421.61752988;394.723577236
0;5;418.497959184;397.755102041
1;5;417.675438596;379.03125
1;5;210.967889908;211.469194313
0;5;165.375565611;169.952173913
0;5;499.836283186;476.127272727
0;5;465.41875;457.556053812
0;5;453.0;430.0
0;5;476.809734513;435.008849558
1;5;537.458515284;526.431623932
1;5;225.815450644;206.692307692
0;5;187.429752066;192.88362069
0;5;482.327659574;456.848101266
0;5;537.876068376;526.0969163
0;6;523.471365639;514.378854626
0;6;508.615044248;476.533632287
1;6;510.369369369;492.963963964
1;6;232.252252252;214.303030303
0;6;207.540540541;216.071748879
0;6;546.236363636;511.186666667
0;6;615.235294118;585.119469027
0;6;599.368181818;565.484581498
0;6;511.32735426;492.111607143
1;6;514.30044843;466.855855856
1;6;356.88;345.076233184
0;6;225.12987013;224.584415584
0;6;500.113043478;471.5
0;6;459.891304348;425.556521739
0;6;487.75;467.0
0;6;507.5;494.5
1;6;516.343478261;487.680981595
1;6;241.605263158;246.74025974
0;6;180.811158798;199.561403509
0;6;436.613333333;408.986725664
0;6;410.864628821;403.022099448
1;6;251.820083682;261.318518519
1;6;246.383211679;244.489051095
1;6;258.503703704;253.669117647
1;6;201.0;213.586080586
0;6;190.128676471;221.252747253
0;6;495.435555556;506.209876543
0;6;485.118181818;459.271493213
0;6;529.706666667;509.152466368
0;6;544.121076233;517.683257919
