Praznik;Mjesec;PrijasnjaPotrosnja;Potrosnja
1;1;169.0;165.75
1;1;178.0;174.0
0;1;219.0;205.0
0;1;230.25;202.75
0;1;230.75;201.5
1;1;185.25;179.25
0;1;194.0;183.75
1;1;193.25;183.75
1;1;190.0;180.5
0;1;220.25;203.5
0;1;244.0;219.0
0;1;225.5;204.25
0;1;240.5;220.5
0;1;226.25;202.75
1;1;178.0;171.5
1;1;176.0;168.75
0;1;229.25;210.0
0;1;232.25;210.5
0;1;230.5;202.5
0;1;235.25;207.5
0;1;212.75;192.25
1;1;192.5;184.75
1;1;190.0;184.0
0;1;255.75;211.5
0;1;246.5;213.0
0;1;247.75;210.25
0;1;241.25;220.25
0;1;225.75;212.5
1;1;187.25;185.0
1;1;180.75;179.25
0;1;242.75;236.0
0;2;230.25;219.0
0;2;225.0;207.0
0;2;230.0;220.25
0;2;204.75;191.0
1;2;179.75;179.0
1;2;184.25;178.0
0;2;222.75;213.75
0;2;218.75;211.25
0;2;223.25;209.5
0;2;230.5;221.75
0;2;202.0;196.0
1;2;191.25;185.75
1;2;185.25;183.5
0;2;248.5;228.5
0;2;248.0;229.5
0;2;238.25;221.5
0;2;252.5;224.5
0;2;251.0;225.25
1;2;166.25;154.5
1;2;202.75;198.25
0;2;258.75;228.25
0;2;230.0;212.5
0;2;226.0;206.75
0;2;248.75;221.75
0;2;223.0;216.0
1;2;192.0;187.75
1;2;203.5;197.0
0;2;253.5;235.0
0;3;257.25;235.75
0;3;239.5;224.5
0;3;237.25;213.5
0;3;222.5;213.5
1;3;195.178832117;190.390510949
1;3;179.244525547;177.322344322
0;3;247.996254682;210.937956204
0;3;244.821011673;222.28125
0;3;241.910505837;221.132
0;3;238.105058366;215.819607843
0;3;233.717647059;209.0546875
1;3;208.4765625;206.5703125
1;3;208.715953307;200.482490272
0;3;241.5;220.25
0;3;241.0;213.75
0;3;243.5;227.25
0;3;272.0;244.5
0;3;250.0;222.5
1;3;202.25;197.5
1;3;202.25;195.5
0;3;238.0;224.25
0;3;236.75;226.75
0;3;234.75;218.0
0;3;252.25;231.75
0;3;222.0;205.5
1;3;204.25;201.5
1;3;207.5;203.25
0;3;NaN;NaN
0;3;238.75;221.25
0;3;241.0;222.75
0;3;242.25;229.5
0;4;NaN;NaN
1;4;NaN;NaN
1;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
1;4;NaN;NaN
1;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
1;4;177.5;175.75
1;4;162.25;159.5
0;4;192.75;183.25
0;4;198.5;184.0
0;4;221.0;201.25
0;4;217.5;200.25
0;4;165.25;162.75
1;4;155.5;154.75
1;4;159.0;158.75
1;4;163.0;160.75
0;4;193.75;183.0
0;4;207.25;187.25
0;4;226.25;200.25
0;4;185.75;180.25
1;4;192.0;210.25
1;5;167.25;167.75
0;5;197.5;188.75
0;5;201.75;186.25
0;5;187.0;182.5
0;5;199.432234432;192.054744526
0;5;186.378723404;180.358649789
1;5;170.975308642;165.589211618
1;5;170.091666667;170.76446281
0;5;188.75;182.25
0;5;197.5;191.0
0;5;206.25;204.5
0;5;206.5;203.0
0;5;NaN;NaN
1;5;214.25;214.25
1;5;213.358974359;212.991701245
0;5;206.180995475;193.981651376
0;5;219.291304348;194.439655172
0;5;198.845454545;184.540178571
0;5;224.431111111;200.383966245
0;5;183.034782609;184.054298643
1;5;180.338383838;176.89119171
1;5;177.40625;168.164705882
0;5;222.331818182;207.254545455
0;5;214.686098655;202.852678571
0;5;202.0;193.0
0;5;204.703539823;197.352422907
0;5;196.995708155;191.708860759
1;5;168.449781659;165.103448276
1;5;164.567099567;168.274678112
0;5;214.206896552;205.343220339
0;5;199.564655172;200.666666667
